Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
28.04.;;;;;;;;;;4er;           8.716;à;              56,80;3er + ZZ;          12.822;à;              16,50;3er;         145.569;à;               5,80;ZZ;         476.316;à;               1,30;
01.05.;aufsteigend;3;10;21;24;36;38;ZZ;15;6er;JP;;         609.018,60;5er + ZZ;               3;à;          27.405,80;5er;              73;à;           1.167,90;4er + ZZ;             144;à;             190,30;
01.05.;;;;;;;;;;4er;           3.111;à;              51,30;3er + ZZ;           3.934;à;              17,40;3er;          49.911;à;               5,50;ZZ;         143.889;à;               1,30;
05.05.;aufsteigend;15;17;28;34;36;37;ZZ;3;6er;DJP;;       1.494.861,00;5er + ZZ;               3;à;          39.862,90;5er;              82;à;           1.512,40;4er + ZZ;             287;à;             138,80;
05.05.;;;;;;;;;;4er;           4.004;à;              58,00;3er + ZZ;           6.046;à;              16,40;3er;          66.437;à;               6,00;ZZ;         255.431;à;               1,30;
08.05.;aufsteigend;2;4;9;16;19;44;ZZ;43;6er;3JP;;       2.412.750,50;5er + ZZ;               4;à;          30.978,70;5er;             102;à;           1.259,80;4er + ZZ;             216;à;             191,20;
08.05.;;;;;;;;;;4er;           5.409;à;              44,50;3er + ZZ;           5.712;à;              18,00;3er;          83.794;à;               4,90;ZZ;         213.736;à;               1,30;
12.05.;aufsteigend;1;5;14;25;29;35;ZZ;26;6er;               2;à;       1.731.811,50;5er + ZZ;               7;à;          20.266,80;5er;              95;à;           1.548,60;4er + ZZ;             266;à;             177,70;
12.05.;;;;;;;;;;4er;           5.166;à;              53,30;3er + ZZ;           7.153;à;              16,50;3er;          84.787;à;               5,60;ZZ;         264.638;à;               1,30;
15.05.;aufsteigend;19;22;23;24;30;33;ZZ;12;6er;JP;;         628.829,70;5er + ZZ;               1;à;          84.892,00;5er;              62;à;           1.419,90;4er + ZZ;             164;à;             172,50;
15.05.;;;;;;;;;;4er;           2.842;à;              58,00;3er + ZZ;           4.405;à;              16,00;3er;          48.893;à;               5,80;ZZ;         160.050;à;               1,30;
17.05.;aufsteigend;22;23;28;35;41;43;ZZ;15;6er;DJP;;       1.287.097,10;5er + ZZ;               2;à;          44.433,00;5er;              69;à;           1.335,60;4er + ZZ;             160;à;             185,10;
17.05.;;;;;;;;;;4er;           2.817;à;              61,30;3er + ZZ;           4.219;à;              17,50;3er;          47.568;à;               6,20;ZZ;         159.834;à;               1,30;
19.05.;aufsteigend;7;13;19;25;33;39;ZZ;40;6er;               2;à;       1.005.392,40;5er + ZZ;               1;à;          97.697,80;5er;             114;à;             888,70;4er + ZZ;             203;à;             160,40;
19.05.;;;;;;;;;;4er;           4.442;à;              42,70;3er + ZZ;           4.636;à;              17,50;3er;          62.458;à;               5,20;ZZ;         166.177;à;               1,30;
22.05.;aufsteigend;14;19;28;32;40;42;ZZ;1;6er;JP;;         562.191,50;5er + ZZ;               2;à;          37.947,90;5er;              59;à;           1.334,00;4er + ZZ;             125;à;             202,30;
22.05.;;;;;;;;;;4er;           2.732;à;              54,00;3er + ZZ;           3.277;à;              19,30;3er;          43.468;à;               5,80;ZZ;         150.320;à;               1,30;
26.05.;aufsteigend;1;6;13;21;40;45;ZZ;22;6er;               1;à;       1.388.121,70;5er + ZZ;               1;à;         111.500,50;5er;             109;à;           1.060,80;4er + ZZ;             252;à;             147,40;
26.05.;;;;;;;;;;4er;           4.341;à;              49,90;3er + ZZ;           5.768;à;              16,10;3er;          69.401;à;               5,30;ZZ;         204.010;à;               1,30;
29.05.;aufsteigend;1;22;23;24;38;45;ZZ;33;6er;JP;;         612.758,00;5er + ZZ;               3;à;          27.574,10;5er;              71;à;           1.208,20;4er + ZZ;             156;à;             176,70;
29.05.;;;;;;;;;;4er;           2.655;à;              60,50;3er + ZZ;           3.957;à;              17,40;3er;          45.165;à;               6,10;ZZ;         146.798;à;               1,30;
02.06.;aufsteigend;6;18;32;36;38;45;ZZ;31;6er;               1;à;       1.424.048,00;5er + ZZ;JP;;         109.524,10;5er;              83;à;           1.368,40;4er + ZZ;             173;à;             211,00;
02.06.;;;;;;;;;;4er;           3.581;à;              59,40;3er + ZZ;           4.599;à;              19,80;3er;          61.446;à;               5,90;ZZ;         191.304;à;               1,30;
05.06.;aufsteigend;7;15;21;28;31;39;ZZ;42;6er;JP;;         609.787,30;5er + ZZ;               3;à;          63.948,40;5er;              80;à;           1.067,10;4er + ZZ;             190;à;             144,40;
05.06.;;;;;;;;;;4er;           3.434;à;              46,60;3er + ZZ;           4.853;à;              14,10;3er;          51.877;à;               5,30;ZZ;         133.657;à;               1,30;
09.06.;aufsteigend;6;7;9;15;28;35;ZZ;27;6er;DJP;;       1.454.881,40;5er + ZZ;               2;à;          57.043,80;5er;              93;à;           1.272,10;4er + ZZ;             274;à;             138,70;
09.06.;;;;;;;;;;4er;           4.701;à;              47,10;3er + ZZ;           6.735;à;              14,10;3er;          76.144;à;               5,00;ZZ;         211.435;à;               1,30;
12.06.;aufsteigend;5;15;27;29;41;44;ZZ;43;6er;               1;à;       2.292.944,60;5er + ZZ;               2;à;          56.569,20;5er;             117;à;           1.002,80;4er + ZZ;             236;à;             159,80;
12.06.;;;;;;;;;;4er;           4.564;à;              48,20;3er + ZZ;           5.440;à;              17,30;3er;          69.481;à;               5,40;ZZ;         190.629;à;               1,30;
16.06.;aufsteigend;3;5;23;29;33;45;ZZ;10;6er;JP;;         701.721,70;5er + ZZ;               1;à;          94.732,40;5er;              86;à;           1.142,30;4er + ZZ;             206;à;             153,20;
16.06.;;;;;;;;;;4er;           3.942;à;              46,70;3er + ZZ;           5.913;à;              13,30;3er;          62.582;à;               5,00;ZZ;         177.039;à;               1,30;
19.06.;aufsteigend;2;5;6;22;23;30;ZZ;3;6er;               1;à;       1.399.752,80;5er + ZZ;               5;à;          18.846,80;5er;              92;à;           1.062,20;4er + ZZ;             281;à;             111,70;
19.06.;;;;;;;;;;4er;           4.013;à;              45,60;3er + ZZ;           7.234;à;              10,80;3er;          61.496;à;               5,10;ZZ;         189.179;à;               1,30;
23.06.;aufsteigend;7;8;10;14;18;23;ZZ;27;6er;JP;;         677.921,60;5er + ZZ;               3;à;          30.506,40;5er;              75;à;           1.265,40;4er + ZZ;             242;à;             126,00;
23.06.;;;;;;;;;;4er;           4.016;à;              44,30;3er + ZZ;           5.949;à;              12,80;3er;          61.370;à;               4,90;ZZ;         165.624;à;               1,30;
26.06.;aufsteigend;14;23;26;30;31;39;ZZ;9;6er;DJP;;       1.376.374,60;5er + ZZ;               1;à;          94.291,10;5er;              71;à;           1.377,20;4er + ZZ;             176;à;             178,50;
26.06.;;;;;;;;;;4er;           3.295;à;              55,60;3er + ZZ;           4.751;à;              16,50;3er;          52.149;à;               6,00;ZZ;         194.314;à;               1,30;
30.06.;aufsteigend;2;13;20;23;28;38;ZZ;27;6er;3JP;;       2.285.305,70;5er + ZZ;               4;à;          30.676,40;5er;              82;à;           1.551,80;4er + ZZ;             267;à;             153,10;
30.06.;;;;;;;;;;4er;           4.484;à;              53,20;3er + ZZ;           6.239;à;              16,30;3er;          73.142;à;               5,60;ZZ;         240.919;à;               1,30;
03.07.;aufsteigend;6;8;13;19;25;26;ZZ;23;6er;4JP;;       3.252.056,10;5er + ZZ;               2;à;          65.255,60;5er;             143;à;             946,40;4er + ZZ;             292;à;             148,90;
03.07.;;;;;;;;;;4er;           5.879;à;              43,10;3er + ZZ;           7.253;à;              14,90;3er;          86.377;à;               5,00;ZZ;         229.607;à;               1,30;
07.07.;aufsteigend;9;10;18;22;35;40;ZZ;13;6er;               1;à;       4.507.850,20;5er + ZZ;               6;à;          28.255,30;5er;             149;à;           1.179,90;4er + ZZ;             315;à;             179,30;
