date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2023-05-12,3087950,821167,True,1,21 23 25 26 30 42 5
2023-06-04,7288891,1684375,True,1,7 17 18 25 26 28 11
2023-06-25,5814067,1384601,True,1,2 4 8 31 33 45 12
2023-07-12,4623293,1175253,True,1,1 3 7 15 16 39 14
2023-07-19,1081048,-233481,True,2,3 7 13 17 28 39 40
2023-07-26,1533742,771290,True,1,1 4 16 21 26 29 31
2023-08-02,1545535,808231,True,1,10 13 17 25 29 44 38
2023-08-20,5566617,1426207,True,1,1 24 27 41 43 44 23
2023-08-27,1505337,862490,True,1,8 16 19 22 25 29 4
2023-09-03,1572063,927238,True,1,3 8 11 26 39 40 42
2023-09-10,2036353,728781,True,1,7 9 13 24 26 27 43
2023-09-20,2370416,871875,True,1,6 15 36 40 43 44 29
2023-09-24,1000000,-1370416,True,1,7 11 25 35 36 38 30
2023-10-08,1791189,-625126,True,2,6 24 32 33 39 45 25
2023-10-18,3071761,973986,True,1,8 9 21 28 31 37 44
2023-10-29,2493472,944076,True,1,1 16 30 31 38 39 24
2023-11-01,1000000,-1493472,True,1,1 15 16 19 31 35 11
2023-11-05,1000000,0,True,1,9 14 16 18 29 43 27
2023-11-08,1000000,0,True,1,3 16 22 28 36 39 19
2023-11-15,2017792,805245,True,1,3 7 11 22 27 39 28
2023-12-03,1557404,-1824181,True,3,3 4 5 8 21 23 12
2023-12-10,739309,96579,True,2,4 5 23 34 38 40 15
2023-12-13,500000,-239309,True,2,1 3 10 11 30 44 39
2023-12-31,5362714,1693665,True,1,4 11 12 22 40 41 9
2024-01-07,761132,110134,True,2,1 9 14 15 20 35 3
2024-01-10,1000000,238868,True,1,21 33 36 37 41 43 2
2024-01-12,1000000,0,True,1,4 7 8 18 31 42 43
2024-01-14,1000000,0,True,1,6 14 15 16 25 39 33
2024-02-04,2174563,-2601199,True,3,3 5 9 17 25 38 45
2024-02-14,3121348,1011410,True,1,2 21 22 27 34 37 25
2024-02-18,1000000,-2121348,True,1,13 18 23 29 30 42 19
2024-02-28,2415635,882517,True,1,10 22 24 28 34 43 42
2024-03-10,3113259,832361,True,1,7 13 17 20 35 39 12
2024-03-13,1000000,-2113259,True,1,2 5 7 14 38 41 26
2024-03-20,725580,12084,True,2,1 3 6 7 20 45 28
2024-04-07,4715840,1294957,True,1,19 28 37 41 42 43 6
2024-04-28,7535657,1888370,True,1,4 9 30 38 41 44 26
2024-05-12,1731811,-680939,True,2,1 5 14 25 29 35 26
2024-05-19,1005392,-281705,True,2,7 13 19 25 33 39 40
2024-05-26,1388121,825930,True,1,1 6 13 21 40 45 22
2024-06-02,1424048,811290,True,1,6 18 32 36 38 45 31
2024-06-12,2292944,838063,True,1,5 15 27 29 41 44 43
2024-06-19,1399752,698031,True,1,2 5 6 22 23 30 3
2024-07-07,4507850,1255794,True,1,9 10 18 22 35 40 13
2024-07-10,1000000,-3507850,True,1,6 8 12 18 19 38 21
2024-07-14,576694,39648,True,2,7 13 17 20 30 43 1
2024-07-21,1694961,977818,True,1,3 15 25 26 30 33 42
2024-08-04,3953610,1319655,True,1,11 13 27 32 38 40 23
2024-08-07,600000,-3353610,True,2,3 8 27 28 36 42 29
2024-08-09,1200000,600000,True,1,3 9 14 29 33 38 27
2024-08-25,1732889,-1951113,True,3,2 4 27 29 34 35 30
2024-08-28,1200000,-532889,True,1,5 9 16 20 39 45 29
2024-09-22,11152282,2660134,True,1,15 19 32 37 39 40 34
2024-10-16,10887160,2490317,True,1,3 12 30 41 42 45 33
2024-10-27,2867162,1081742,True,1,10 22 25 27 32 40 15
2024-11-03,1785560,1012751,True,1,12 16 18 19 27 44 6
2024-11-17,5075162,1526140,True,1,7 8 11 16 26 40 44
2024-12-11,9625763,2125234,True,1,13 17 26 34 39 42 6
2024-12-15,1200000,-8425763,True,1,4 5 41 42 44 45 6
2024-12-22,955593,158690,True,2,3 25 30 34 41 44 17
2024-12-25,600000,-355593,True,2,9 15 20 24 26 34 31
2025-01-05,3115592,1207590,True,1,5 11 19 21 34 44 33
2025-01-12,2414065,873055,True,1,2 4 5 22 24 27 25
2025-01-15,1200000,-1214065,True,1,9 17 23 33 36 38 27
2025-01-22,1717592,870086,True,1,3 5 29 33 40 45 22
2025-01-26,1200000,-517592,True,1,5 11 13 17 27 44 19
2025-02-14,6858631,1376814,True,1,19 22 25 38 41 44 26
2025-02-23,2868847,1136783,True,1,3 19 24 35 42 43 17
2025-02-26,1200000,-1668847,True,1,10 15 18 20 25 41 17
2025-03-05,890599,-20453,True,2,1 6 24 28 34 44 38
2025-03-30,3826437,-4782119,True,3,5 8 20 24 27 40 25
2025-04-02,1200000,-2626437,True,1,1 2 15 17 23 27 21
2025-04-09,1737652,872789,True,1,5 21 24 27 38 44 35
2025-04-16,2334722,932120,True,1,4 5 25 32 36 38 34
2025-04-30,3861052,1142771,True,1,2 12 14 20 21 45 44
2025-05-14,4713449,1251519,True,1,18 19 27 33 36 40 28
2025-06-01,5210747,1335109,True,1,5 7 15 20 34 43 2
2025-06-04,400000,-4810747,True,3,2 4 5 17 19 29 33
2025-06-08,600000,200000,True,2,8 10 16 17 31 44 7
2025-06-13,1373464,719125,True,1,6 7 12 24 32 41 38
2025-07-06,8268329,1954043,True,1,7 8 18 23 33 39 15
2025-07-09,1200000,-7068329,True,1,2 4 7 11 15 30 27
2025-07-23,4717544,1254452,True,1,5 13 16 30 34 44 9
2025-08-06,4720140,1285606,True,1,4 25 27 28 31 43 42
2025-08-27,9682498,2424929,True,1,10 28 29 32 33 34 42
2025-09-10,4678163,1231649,True,1,2 10 15 23 25 42 31
2025-10-01,7832938,1804325,True,1,6 7 19 29 31 33 24
2025-10-08,1115888,-216292,True,2,1 11 23 26 35 38 27
2025-10-22,4459759,1200179,True,1,15 16 18 21 32 43 34
2025-10-26,1200000,-3259759,True,1,4 20 23 30 32 41 42
2025-10-31,1446028,770083,True,1,4 7 9 16 17 24 29
2025-11-12,3548759,1074590,True,1,11 19 26 28 31 44 9
2025-11-28,5700898,1162889,True,1,12 20 30 39 40 44 3
2025-12-12,4768158,1052357,True,1,3 21 25 27 38 41 9
2025-12-17,1571189,832761,True,1,9 11 13 15 19 30 1
2025-12-24,1928113,1088643,True,1,3 4 12 24 32 33 44
2025-12-31,2510640,1288589,True,1,1 6 20 31 34 45 41
2026-01-04,1200000,-1310640,True,1,1 4 15 16 22 38 11
2026-01-14,3143389,1026826,True,1,6 7 18 24 37 42 11
2026-01-18,1200000,-1943389,True,1,1 9 19 27 28 40 17
2026-02-04,6143677,1640656,True,1,2 18 25 26 30 43 1
2026-02-20,2951543,-1768554,True,2,6 9 16 18 25 27 20
2026-03-11,7712071,1818004,True,1,4 14 18 25 27 35 29
2026-03-18,1641506,810444,True,1,16 24 29 30 39 43 32
2026-03-22,1300000,714653,True,1,5 9 13 23 34 42 18
2026-03-29,1511198,865290,True,1,13 25 36 38 40 42 18
2026-04-01,1200000,-311198,True,1,5 14 16 19 34 37 12
2026-04-05,1300000,687497,True,1,2 4 18 21 22 31 40
2026-04-15,783599,-687486,True,3,5 6 7 12 26 28 1
2026-05-06,2113437,-4336199,True,4,1 7 12 13 14 42 23
2026-05-17,3117718,810942,True,1,1 5 6 33 35 36 38
2026-05-20,1200000,-1917718,True,1,3 7 11 22 27 31 12
2026-06-07,5507552,1347763,True,1,2 7 16 17 35 36 21
2026-06-10,1200000,-4307552,True,1,
