date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2018-06-17,2694434,1076289,True,1,4 9 10 12 13 32 27
2018-06-20,1000000,-1694434,True,1,3 6 16 27 32 39 29
2018-06-24,745601,-254399,False,,20 23 28 38 43 45 41
2018-06-27,1561455,815854,False,,8 15 26 28 37 44 43
2018-07-01,1324911,-236544,True,2,5 6 8 10 17 30 29
2018-07-04,1000000,-324911,True,1,6 8 29 30 34 36 26
2018-07-08,770801,-229199,False,,8 9 18 39 41 45 13
2018-07-11,1611267,840466,False,,27 29 36 41 44 45 32
2018-07-15,2687466,1076199,True,1,15 29 37 42 43 45 40
2018-07-18,1000000,-1687466,True,1,7 10 22 24 27 43 40
2018-07-22,500000,-500000,True,2,2 6 13 21 28 37 42
2018-07-25,611501,111501,False,,10 18 26 31 32 37 19
2018-07-29,1490151,878650,False,,2 3 6 29 33 40 21
2018-08-01,2416134,925983,False,,14 16 28 29 36 42 27
2018-08-05,724552,-1691582,True,5,10 17 23 24 34 42 39
2018-08-08,1000000,275448,True,1,1 12 25 35 37 45 28
2018-08-12,723807,-276193,False,,12 26 36 38 41 45 5
2018-08-15,1463395,739588,False,,9 19 30 34 35 42 43
2018-08-19,2491463,1028068,True,1,2 11 14 22 23 44 36
2018-08-22,615304,-1876159,False,,20 21 22 24 30 43 36
2018-08-26,1511801,896497,False,,1 18 22 23 30 32 34
2018-08-29,2434453,922652,False,,14 16 24 30 31 45 18
2018-09-02,3705922,1271469,False,,2 15 16 31 37 45 21
2018-09-05,5148933,1443011,False,,5 8 15 26 40 42 29
2018-09-09,7174599,2025666,False,,4 8 12 18 24 39 29
2018-09-12,5132100,-2042499,True,2,8 12 20 23 37 42 19
2018-09-16,797264,-4334836,False,,8 10 14 23 43 44 32
2018-09-19,1670352,873088,True,1,1 10 24 25 39 45 27
2018-09-23,770556,-899796,False,,9 13 14 29 39 44 16
2018-09-26,1605171,834615,False,,1 4 5 11 15 33 40
2018-09-30,2684673,1079502,False,,2 6 9 17 35 38 42
2018-10-03,1944705,-739968,True,2,3 10 23 27 28 41 24
2018-10-07,777847,-1166858,False,,22 24 27 34 35 44 30
2018-10-10,1656789,878942,False,,16 23 37 40 44 45 15
2018-10-14,2738589,1081800,False,,6 7 18 27 33 38 5
2018-10-17,3905735,1167146,True,1,1 9 20 24 29 31 18
2018-10-21,757347,-3148388,False,,10 14 16 22 35 44 38
2018-10-24,1590988,833641,True,1,1 7 10 12 21 24 23
2018-10-28,703355,-887633,False,,12 19 22 26 35 37 15
2018-10-31,1593450,890095,False,,6 7 13 24 27 38 37
2018-11-04,2621800,1028350,False,,9 10 15 26 31 38 29
2018-11-07,3827080,1205280,False,,3 14 26 27 41 42 12
2018-11-11,5412489,1585409,False,,13 14 22 33 34 43 30
2018-11-14,7370039,1957550,False,,12 21 23 34 38 44 24
2018-11-18,10248073,2878034,False,,2 4 9 14 41 44 18
2018-11-21,14926157,4678084,True,1,20 25 29 32 37 44 43
2018-11-25,819727,-14106430,False,,9 10 29 31 38 43 12
2018-11-28,1746446,926719,False,,9 10 17 18 28 40 35
2018-12-02,2947099,1200653,False,,6 15 17 18 40 43 10
2018-12-05,4302736,1355637,False,,15 16 17 20 21 25 23
2018-12-09,5855408,1552672,True,1,15 16 35 38 41 42 19
2018-12-12,751657,-5103751,False,,8 9 14 26 27 34 16
2018-12-16,1798416,1046759,True,1,8 12 21 24 36 44 31
2018-12-19,500000,-1298416,True,2,3 11 20 29 39 44 38
2018-12-23,878230,378230,False,,19 27 28 34 35 44 18
2018-12-26,1573634,695404,True,1,13 16 22 26 29 36 43
2018-12-30,852793,-720841,False,,4 7 8 12 14 44 10
2019-01-02,1700309,847516,False,,2 10 12 13 26 28 35
2019-01-06,2772854,1072545,True,1,3 23 24 34 36 39 18
2019-01-09,678363,-2094491,False,,1 8 21 31 33 39 38
2019-01-13,1633755,955392,True,1,8 11 15 16 20 30 42
2019-01-16,680060,-953695,False,,3 17 18 32 38 43 39
2019-01-20,1638353,958293,True,1,1 7 19 22 36 42 17
2019-01-23,664479,-973874,False,,1 12 28 36 40 41 8
2019-01-27,1618389,953910,False,,4 13 15 29 33 39 2
2019-01-30,1294289,-324100,True,2,19 20 21 28 30 45 16
