date,jackpot_eur,jackpot_won,jackpot_winners,source
2018-10-24,1590988,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-10-28,703355,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-10-31,1593450,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-11-04,2621800,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-11-07,3827080,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-11-11,5412489,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-11-14,7370039,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-11-18,10248073,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-11-21,14926157,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-11-25,819727,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-11-28,1746446,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-02,2947099,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-05,4302736,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-09,5855408,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-12,751657,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-16,1798416,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-19,500000,1,2,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-23,878230,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-26,1573634,1,1,win2day:NN_W2D_STAT_Lotto_2018.csv
2018-12-30,852793,0,,win2day:NN_W2D_STAT_Lotto_2018.csv
2019-01-02,1700309,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-01-06,2772854,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-01-09,678363,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-01-13,1633755,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-01-16,680060,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-01-20,1638353,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-01-23,664479,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-01-27,1618389,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-01-30,1294289,1,2,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-02-03,792331,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-02-06,552103,1,3,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-02-10,765519,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-02-13,1602935,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-02-17,2668252,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-02-20,644481,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-02-24,1548226,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-02-27,2470964,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-03,3724748,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-06,2576750,1,2,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-10,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-13,665139,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-17,1615454,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-20,2597440,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-24,1911857,1,2,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-27,500000,1,2,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-03-31,756371,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-04-03,1570747,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-04-07,2616700,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-04-10,3744927,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-04-14,745054,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-04-17,1546328,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-04-21,2579792,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-04-24,577949,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-04-28,1458912,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-01,2317853,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-05,759795,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-08,1573250,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-12,500000,1,2,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-15,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-19,706767,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-22,736775,1,2,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-26,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-05-29,627008,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-02,1434898,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-05,2306525,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-09,3466008,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-12,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-16,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-19,622072,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-23,1422367,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-26,333333,1,3,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-06-30,680703,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-03,1451624,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-07,2432878,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-10,3523017,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-14,711701,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-17,1499377,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-21,1258116,1,2,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-24,610419,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-28,491217,1,3,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-07-31,596082,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-08-04,1466077,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-08-07,2361025,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-08-11,1761322,1,2,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-08-14,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-08-18,672686,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-08-21,1451561,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-08-25,2446262,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-08-28,3529427,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-01,4991197,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-04,659873,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-08,1563134,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-11,2486258,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-15,3707731,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-18,5148766,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-22,2345548,1,3,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-25,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-09-29,735612,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-02,1527972,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-06,742030,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-09,1536261,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-13,712311,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-16,1484453,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-20,711840,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-23,1467809,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-27,2365785,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-10-30,614527,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-11-03,1455614,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-11-06,2377384,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-11-10,3552412,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-11-13,4823263,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-11-17,6552614,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-11-20,639464,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-11-24,1527069,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-11-27,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-01,751970,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-04,1558099,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-08,2591333,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-11,3697632,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-15,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-18,669361,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-22,1653727,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-25,2623677,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2019-12-29,3754385,0,,win2day:NN_W2D_STAT_Lotto_2019.csv
2020-01-01,5100702,1,1,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-01-05,784450,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-01-08,1562962,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-01-12,2605418,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-01-15,3743596,1,1,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-01-19,739149,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-01-22,1567177,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-01-26,2586615,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-01-29,1852209,1,2,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-02-02,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-02-05,624985,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-02-09,1526804,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-02-12,2444200,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-02-16,3656154,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-02-19,5015647,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-02-23,6821231,0,,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-02-26,3067178,1,3,win2day:NN_W2D_STAT_Lotto_2020.csv
2020-03-01,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2020.csv
